Title,Publication Year,Publication Venue,System NO.,Configuration,Role,Interaction,Application Domain,Relationship,Proxemics,Dynamics
"SkinTrack: Using the Body as an Electrical Waveguide for Continuous Finger Tracking on the Skin. <a href=""https://dl.acm.org/doi/abs/10.1145/2858036.2858082"">Click</a>",2016,CHI,86,Pairwise,Data Collector & Central Device,Viewing / Sensing,Drawing; Map control; Game,Single user,Near,Mobile
"Mo-Bi: Contextual Mobile Interfaces through Bimanual Posture Sensing with Wrist-Worn Devices. <a href=""https://dl.acm.org/doi/abs/10.17210/hcik.2016.01.94"">Click</a>",2016,CHI,87,Pairwise,Data Collector,Other,\,Single user,Near,Mobile
"Assisting Food Journaling with Automatic Eating Detection. <a href=""https://dl.acm.org/doi/abs/10.1145/2851581.2892426"">Click</a>",2016,CHI,88,Pairwise,Data Collector & Extended Screen,Interaction,Food Journaling,Single user,Near,Mobile
"TakeOut: Drawing Application Using Distributed User Interface for Being Close to Real Experience. <a href=""https://dl.acm.org/doi/abs/10.1145/2968219.2971439"">Click</a>",2016,Ubicomp,89,Pairwise,Extended Screen,Interaction,Drawing,Single user,Near,Mobile
"Large Scale Mood and Stress Self-Assessments on a Smartwatch. <a href=""https://dl.acm.org/doi/abs/10.1145/2968219.2968305"">Click</a>",2016,Ubicomp,90,Pairwise,Data Collector,Other,Mood and Stress Self-Assessments,Single user,Near,Mobile
"DEMONS: An Integrated Framework for Examining Associations between Physiology and Self-Reported Affect Tied to Depressive Symptoms. <a href=""https://dl.acm.org/doi/abs/10.1145/2968219.2968300"">Click</a>",2016,Ubicomp,91,Pairwise,Data Collector,Other,Depression monitoring,Single user,Near,Mobile
"Automatic Authentication of Smartphone Touch Interactions using Smartwatch. <a href=""https://dl.acm.org/doi/abs/10.1145/2968219.2971370"">Click</a>",2016,Ubicomp,92,Pairwise,Data Collector,Other,\,Single user,Near,Mobile
"Automated estimation of food type and amount consumed from body-worn audio and motion sensors. <a href=""https://dl.acm.org/doi/10.1145/2971648.2971677"">Click</a>",2016,Ubicomp,93,N-Wise,Data Collector,Other,Food Journaling,Single user,Personal / Social,Mobile
"ViBand: High-Fidelity Bio-Acoustic Sensing Using Commodity Smartwatch Accelerometers. <a href=""https://dl.acm.org/doi/abs/10.1145/2984511.2984582"">Click</a>",2016,UIST,94,Pairwise,Input Device,Interaction,Smart home control,Single user,Room / Public,Semi-fixed
"Reducing Distraction of Smartwatch Users with Deep Learning. <a href=""https://dl.acm.org/doi/abs/10.1145/2957265.2962662"">Click</a>",2016,MobileHCI,95,Pairwise,Notification Device,Viewing / Sensing,Notification filtering,Single user,Near,Mobile
"WhichHand: Automatic Recognition of a Smartphone’s Position in the Hand Using a Smartwatch. <a href="". https://dl.acm.org/doi/abs/10.1145/2957265.2961857"">Click</a>",2016,MobileHCI,96,Pairwise,Data Collector,Other,\,Single user,Near,Mobile
"CurationSpace: Cross-­Device Content Curation Using Instrumental Interaction. <a href=""https://dl.acm.org/doi/abs/10.1145/2992154.2992175"">Click</a>",2016,ISS,97,Pairwise,Extended Screen,Interaction,Content Curation,Single user,Room / Public,Fixed
"WATCHCONNECT: A Toolkit for Prototyping Smartwatch-Centric Cross-Device Applications. <a href=""https://dl.acm.org/doi/abs/10.1145/2702123.2702215"">Click</a>",2015,CHI,72,Pairwise,Input Device & Extended Screen,Interaction,Cross-device unlocking; Map exploration,Single user,Personal / Social,Semi-fixed
"MultiFi: Multi-Fidelity Interaction with Displays On and Around the Body. <a href=""https://dl.acm.org/doi/abs/10.1145/2702123.2702331"">Click</a>",2015,CHI,73,N-Wise,Extended Screen,Interaction,Map control,Single user,Near,Mobile
"Vi-Bros: Tactile Feedback for Indoor Navigation with a Smartphone and a Smartwatch. <a href=""https://dl.acm.org/doi/abs/10.1145/2702613.2732811"">Click</a>",2015,CHI,74,Pairwise,Notification Device,Viewing / Sensing,Indoor navigation,Single user,Near,Mobile
"Harmonious Haptics: Enhanced Tactile Feedback Using a Mobile and a Wearable Device. <a href=""https://dl.acm.org/doi/abs/10.1145/2702613.2725428"">Click</a>",2015,CHI,75,Pairwise,Perceptual Enhancer,Viewing / Sensing,\,Single user,Near,Mobile
"Mixed-Reality Shopping System Using HMD and Smartwatch. <a href=""https://dl.acm.org/doi/abs/10.1145/2800835.2800888"">Click</a>",2015,Ubicomp,76,Pairwise,Input Device,Interaction,Shopping,Single user,Near,Mobile
"A Wearable Action Support System for Business Use by Context-aware Computing based on Web Schedule. <a href=""https://dl.acm.org/doi/abs/10.1145/2800835.2800863"">Click</a>",2015,Ubicomp,77,Pairwise,Notification Device,Viewing / Sensing,Business Schedule,Single user,Near,Mobile
"PulseCam: Biophysically Driven Life Logging. <a href=""https://dl.acm.org/doi/abs/10.1145/2786567.2794320"">Click</a>",2015,MobileHCI,79,Pairwise,Data Collector,Other,Life Logging,Single user,Near,Mobile
"Optimizing Smartphone Micro-usage with Smartwatch Notiﬁcations. <a href=""https://dl.acm.org/doi/abs/10.1145/2786567.2794313"">Click</a>",2015,MobileHCI,80-1,Pairwise,Extended Screen,Interaction,\,Single user,Near,Mobile
"Optimizing Smartphone Micro-usage with Smartwatch Notiﬁcations. <a href=""https://dl.acm.org/doi/abs/10.1145/2786567.2794313"">Click</a>",2015,MobileHCI,80-2,Pairwise,Extended Screen,Interaction,\,Single user,Near,Mobile
"Optimizing Smartphone Micro-usage with Smartwatch Notiﬁcations. <a href=""https://dl.acm.org/doi/abs/10.1145/2786567.2794313"">Click</a>",2015,MobileHCI,80-3,Pairwise,Extended Screen,Interaction,\,Single user,Near,Mobile
"Duet: Exploring Joint Interactions on a Smart Phone and a Smart Watch. <a href=""https://dl.acm.org/doi/abs/10.1145/2556288.2556955"">Click</a>",2014,CHI,81,Pairwise,Input Device & Notification Device & Extended Screen,Interaction,Cross-device reading; Map viewing; Call,Single user,Near,Mobile
